"<CHARNAME> does not stand alone, Melissan. It is time that this is ended.","<CHARNAME> no está sóla, Melissan. Es hora de acabar con esto."
"Ahhhhh, such feeling. I feel the life flow through me! Such a gift you carry Child of Bhaal... such power... such strength. Oh this is simply divine!","Ahhhhh, qué sensación. ¡Siento que la vida fluye por mis venas! Llevas tal regalo, Hija de Bhaal... tal poder... tal fuerza. ¡Oh esto es simplemente divino!"
"And so it is done. I believe you have made the right choice. I look forward to meeting you again on Faerun, <CHARNAME>...as a mortal and a true <PRO_BROTHERSISTER>.","Ya está hecho. Creo que habéis tomado la decisión correcta. Espero que nos encontremos de nuevo en Faerun, <CHARNAME>... como mortal y verdadera hermana."
"And so you take the road less traveled, <CHARNAME>. I cannot say I envy you. I hope the power brings you what you expect and desire, my friend. When I look up at the heavens and see the brightest star in the sky, I shall think of you and offer a prayer.","Así que tomáis el camino menos transitado, <CHARNAME>. No puedo decir que os envidie. Espero que el poder os traiga lo que ansiáis, amiga mía. Cuando mire el cielo y vea la estrella más brillante, pensaré en vos y rezaré una plegaria."
"But do not forget our deal. I am impatient for the piece of your soul you promised me. I have enjoyed our dance Child of Bhaal, but I tire of this place. Give me what I want so I may leave... we need not meet each other again, unless you wish it.","Pero no olvidéis nuestro pacto. Estoy impaciente por tener la porción de vuestra alma que me prometísteis. He disfrutado con nuestro baile, Hija de Bhaal, pero me canso de este sitio. Dadme lo que quiero para poder marcharme... no tenemos por qué vernos otra vez, a no ser que así lo deseéis."
"But perhaps I have resigned myself to a path that is not what it seems. You are... hardly what I expected for the last of the Bhaalspawn, <CHARNAME>. Perhaps there is hope... or perhaps I am only deluding myself.","Pero quizás me he resignado a un camino que no es lo que parece. Vos... no sois lo que esperaba como la última de los Engendros de Bhaal, <CHARNAME>.  Tal vez haya esperanza... o tal vez sólo me esté engañando a mi mismo."
"Fool! You think to betray me, Child of Bhaal? I refuse to return to the abyss. I shall rip every shred of that soul from your body! Let the dance end here!","¡Estúpida! ¿Pensáis traicionarme, Hija de Bhaal? Me niego a regresar al abismo. ¡Os arrancaré hasta el último vestigio de vuestra alma! ¡Que el baile se acabe aquí!"
"I am your <PRO_BROTHERSISTER>, Balthazar. Let us fight what is inevitable! We can work together!","Soy vuestra hermana, Balthazar. ¡Luchemos contra lo inevitable! ¡Podemos trabajar juntos!"
"I cannot pretend to know what you are thinking, now, of the decision you must make. Nor do I pretend to certainty that the taint would bring such a <PRO_MANWOMAN> such as yourself towards evil. Perhaps you would overcome that taint and be a good god, I cannot say.","No puedo pretender saber lo que estáis pensando ahora, de la decisión que debéis hacer. Ni puedo pretender saber si la mancha conduciría a una mujer como vos hacia el mal. Tal vez superaríais esa lacra y seríais un buen dios, no lo sé."
"I require satisfaction before the Child of Bhaal makes any sort of decision, creature. Both my brother and this... Melissan, lie dead. Your hunt has been delightfully successful, <CHARNAME>.","Quiero una respuesta antes de que la Hija de Bhaal tome una decisión, criatura. Tanto mi hermano como la tal... Melissan, están muertos. Vuestra caza ha sido de lo más exitosa, <CHARNAME>."
"I would expect no other response from a true <PRO_BROTHERSISTER> of mine. I know too well the thirst for death that comes with the taint of our sire. I have mastered it, but only barely... I pity those who are a slave to it.","No esperaría otra cosa de una verdadera hermana mío. Conozco demasiado bien la sed de muerte que conlleva la mancha de nuestro padre. La he dominado, pero a duras penas... Compadezco a los que son esclavos de ella."
"Irenicus, I believe you called him. So easily culled as my own, since you abandoned him here recently... and such a valuable source of information on you, <CHARNAME>. After all... I believe you did share a soul, once, no? Say hello to the dear <PRO_MANWOMAN>, Irenicus.","Irenicus, creo que le llamábais. Qué fácilmente se ha pasado a nuestro lado, puesto que aquí le abandonásteis recientemente... y qué fuente inagotable de información sobre vos ha resultado ser, <CHARNAME>. Después de todo... creo que compartísteis un alma en una ocasión, ¿no es así? Saluda a nuestra querida <PRO_MANWOMAN>, Irenicus."
"It is true. You are a good <PRO_MANWOMAN>, <CHARNAME>, and your stance against evil is without question. Your fight against the taint of our evil father is worthy of praise.","Es verdad. Sois una buena mujer, <CHARNAME>, y vuestra postura contra el mal está fuera de toda duda. Vuestra lucha contra la deshonra de nuestro malvado padre es digna de elogio."
"Oh Child of Bhaal, so serious and grim! Do you not enjoy that our paths have crossed again? Does your blood not rejoice?","¡Oh Hija de Bhaal, tan seria y siniestra! ¿No disfrutáis de que nuestros caminos se hayan vuelto a cruzar? ¿No se alegra vuestra sangre?"
"Oh Child of Bhaal, such a game you play. I fight with my 'dear' brother for your soul, yet you would offer it willingly? Promise me a piece of your essence and I will join you... for now.","Oh Hija de Bhaal, ¿a qué estáis jugando?  Lucho con mi 'querido' hermano por vuestra alma, ¿y sin embargo la ofreceríais voluntariamente? Prométedme una porción de vuestra esencia y me uniré a vos... por el momento."
"Oh Child of Bhaal, such a game you play. You think to trick me, but I shall not be fooled so easily. I know you to be ever so desperate to do 'good' and this would not bode well for me. No, this ends here.","Oh Hija de Bhaal, ¿a qué estáis jugando?  Pretendéis engañarme, pero no me dejaré engañar tan fácilmente. Sé que siempre estáis desesperado por hacer el 'bien' y yo no saldría de esto bien parada. No, esto se acaba aquí."
"Oh Child of Bhaal, you do bore me so with your talk. Come to me and embrace death as I have. Let the dance begin again!","Oh Hija de Bhaal, me aburrís con vuestra charla. Venid a mi y abrazad la muerte como yo he hecho. ¡Que el baile empiece de nuevo!"
"The choice is your own. You know yourself better than I. I simply ask that you consider the life you might have led, the mortal life, had the taint never visited itself upon you back at Candlekeep. I look forward to my own.","La elección es vuestra. Os conocéis a vos misma mejor que yo. Yo sólo os pido que consideréis la vida que podríais haber llevado, una vida mortal, si la lacra no hubiera caido sobre vos cuando estábais en Candelero. Yo tengo ganas de vivir la mía."
"The one you know as Melissan was never a true member of the Five, godchild. She is no child of Bhaal.","La que conocéis como Melissan nunca fue una verdadera miembro de los Cinco, hija de dios. Ella no es hija de Bhaal."
"Then die with your fool <PRO_BROTHERSISTER>, if that is your wish! The Five shall be the end of you both!","¡Entonces morid con la estúpida de vuestra <PRO_BROTHERSISTER>, si eso es lo que queréis! ¡Los Cinco acabarán con vosotros dos!"
"Then fight for me you shall! And your first victim will be the <PRO_BROTHERSISTER> upon whom vengeance is so richly deserved!","¡Entonces lucharéis por mi! Y vuestra primera víctima será vuestra <PRO_BROTHERSISTER>, ¡qué tan merecida tiene la venganza!"
"Then let's get this over with. I'm tired of talking.","Entonces acabemos con esto. Estoy cansada de hablar."
"Upon returning to Amkethran, Balthazar began to implement changes for the better. He had learned well from his friend and <PRO_BROTHERSISTER> the meaning of the word ""Good"". He carried his guilt with him always, a reminder never to make the same mistakes again. The remaining criminal elements were quickly driven from his outpost, which attracted new settlers and merchants. Over the years, Amkethran grew into a thriving city and the cultural center of the entire region, renowned for its peace and compassion. Balthazar was also central in the creation of the Monastic Guard, an elite group of Paladins and Monks who were sworn to protect the common folk from tyranny in any form. His deeds quickly earned him the respect and trust of his people. In Balthazar's advanced years, his work finished, it was said he could be found most often gazing at the night sky and remembering <CHARNAME>. Later, Balthazar would leave Amkethran forever on a pilgrimage to Candlekeep... to give a final thanks for the peace he had found and to see for himself the humble beginnings of a legend.","Tras su vuelta a Amkethran, Balthazar comenzó a experimentar cambios para mejor. Había aprendido bien de su amiga y <PRO_BROTHERSISTER> el significado de la palabra ""Bien"". Siempre llevó su culpa con él; un recordatorio para no cometer los mismo errores otra vez. Los elementos criminales que quedaban fueron rápidamente alejados de su puesto, lo cuál atrajo nuevos pobladores y mercaderes. Con los años, Amkethran evolucionó en una ciudad próspera y centro cultural de toda la región, reputada por su paz y compasión. Balthazar fue también parte principal de la creación de la Guardia Monástica; un grupo de élite de Paladines y Monjes que juraban proteger al pueblo de la tiranía bajo cualquier forma. Sus hazañas rápidamente le hicieron ganar el respeto y confianza de su gente. En los siguientes años de Balthazar finalizó su trabajo, y se dice que puede ser encontrado muy a menudo contemplando el cielo nocturno y recordando a <CHARNAME>. Más tarde, Balthazar dejaría Amkethran para siempre en un peregrinaje a Candelero... para dar por última vez las gracias por la paz que había encontrado y para ver por sí mismo los humildes inicios de una leyenda."
"Very well, then, <CHARNAME>. I will join you. You are a worthy <PRO_MANWOMAN>. Perhaps even worthy of turning Bhaal's dark taint and making something better of it. I do not know. But I will take that chance.","Muy bien, <CHARNAME>. Me uniré a vos. Sois una mujer digna. Quizás incluso digna de convertir la lacra oscura de Bhaal en algo mejor. No lo sé. Pero correré el riesgo."
"Well, Child of Bhaal, it would seem that our time together is at an end. I shall enjoy carrying this piece of you with me. Perhaps we shall meet again, you and I...","Bien, Hija de Bhaal, parece que nuestro tiempo juntos se acaba. Disfrutaré llevando esta parte de vos conmigo. Tal vez nos encontremos de nuevo, vos y yo..."
"Well, well, well... if the Child of Bhaal hasn't gone and found <PRO_HIMHER>self a sense of humour. Did <PRO_HESHE> dig it up all by <PRO_HIMHER>self, dear brother, or did you implant it in <PRO_HIMHER> in one of your more bizarre experiments?","Bien, bien, bien... parece que el Hija de Bhaal ha encontrado su sentido del humor. ¿Lo desenterró sólo ella, querido hermano, o se lo implantástei en uno de vuestros extraños experimentos?"
"While it fills me with distaste that you would even bring such a creature of evil before me, god-child, you must remember that in this place an oath is worth more than the words with which it is spoken. You are no god yet... and while I would rather destroy this undead thing, it now falls on me to enforce the promise you have made.","Me disgusta ver que habéis traido a mi presencia a semejante criatura maligna, hija de dios, debéis recordar que en este lugar un juramento es más importante que las palabras con las que es nombrado. Vos no sois una diosa todavía... y mientras yo destruiría esta cosa no muerta. Ahora cae sobre mi el forzar la promesa que habéis hecho."
"Why you assumed I would even be interested in your allegiance, Bodhi, I have no idea. I shall be pleased to know that you both die again just as you lived: without a single redeeming or worthwhile quality.","No tengo ni idea de por qué asumísteis que estaría interesada en vuestra lealtad, Bodhi. Me alegra saber que ambos morís de nuevo como vivisteis: sin una sola cualidad redentora o valiosa."
"You have parleyed with Balthazar, the greatest of the Bhaalspawn besides yourself, god-child. You are to be commended. Your journey is nearly at its end.","Habéis convivido con Balthazar, el más grande de los hijos de Bhaal junto a vos, hija de dios. Vuestro viaje esta cerca del fin."
"You mistake the path for the journey, my friend. Whatever paths you have taken since leaving Candlekeep, the journey has ended here as it was always meant to. Destiny masters us... we do not master it.","Os confundís de camino para el viaje, amiga mía. Sean cuales sean los caminos que habéis tomado desde que abandonásteis Candelero, el viaje ha terminado aquí, como estaba escrito. El destino nos controla... no lo controlamos nosotros."
"You sound like Yaga-Shura, a giant in ego as well as body. Yet he fell, too, when his fate came due. The power of your blood may yet make you victorious, it is true, but the fact that you embrace the taint within you makes my own path that much the clearer.","Habláis como Yaga-Shura, un gigante en cuerpo y en ego. Pero aun así él también cayó, cuando su destino le alcanzó. El poder de vuestra sangre puede que os haga salir victoriosa, es cierto, pero el hecho de que abracéis la mancha que hay en vos hace que mi camino esté mucho más claro."
"You think to betray me, Bodhi? Foolish girl. Melissan is the one who holds power here, and you hope to find succor at the feet of this fool <PRO_GIRLBOY>? Stand by me or die with <PRO_HIMHER>!","¿Pensáis traicionarme, Bodhi? Muchacha estúpida. Melissan es la única que posee el poder aquí, y ¿esperáis encontrar amparo a los pies de esta tonta <PRO_GIRLBOY>? ¡Apóyadme o morid con <PRO_HESHE>!"
